symptom,disease,treatment_recommendation,source_name,source_url,source_topic,confidence,evidence,model_used,extraction_status,validation_status,validation_notes
loss of appetite,influenza,"Rest, drink fluids, and seek medical care if symptoms worsen.",NHS,https://www.nhs.uk/conditions/flu/,flu,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
diarrhoea,influenza,"Rest, drink fluids, and seek medical care if symptoms worsen.",NHS,https://www.nhs.uk/conditions/flu/,flu,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
fever,influenza,"Rest, drink fluids, and seek medical care if symptoms worsen.",NHS,https://www.nhs.uk/conditions/common-cold/,common cold,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
high temperature,influenza,"Rest, drink fluids, and seek medical care if symptoms worsen.",NHS,https://www.nhs.uk/conditions/common-cold/,common cold,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
aching muscles,influenza,"Rest, drink fluids, and seek medical care if symptoms worsen.",NHS,https://www.nhs.uk/conditions/common-cold/,common cold,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
loss of taste and smell,influenza,"Rest, drink fluids, and seek medical care if symptoms worsen.",NHS,https://www.nhs.uk/conditions/common-cold/,common cold,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
feeling tired and unwell,influenza,"Rest, drink fluids, and seek medical care if symptoms worsen.",NHS,https://www.nhs.uk/conditions/common-cold/,common cold,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
cough,influenza,"Rest, drink fluids, and seek medical care if symptoms worsen.",NHS,https://www.nhs.uk/conditions/common-cold/,common cold,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
chest pain,influenza,Seek medical care immediately if symptoms worsen.,NHS,https://www.nhs.uk/conditions/common-cold/,common cold,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
shortness of breath,influenza,Seek medical care immediately if symptoms worsen.,NHS,https://www.nhs.uk/conditions/common-cold/,common cold,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
joint pain,osteoarthritis,"Staying active, maintaining a healthy weight and receiving certain treatments might slow progression of the disease and help improve pain and joint function.",Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/osteoarthritis/symptoms-causes/syc-20351925,osteoarthritis,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
stiffness,osteoarthritis,"Staying active, maintaining a healthy weight and receiving certain treatments might slow progression of the disease and help improve pain and joint function.",Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/osteoarthritis/symptoms-causes/syc-20351925,osteoarthritis,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
tenderness,osteoarthritis,"Rest, drink fluids, and seek medical care if symptoms worsen.",Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/osteoarthritis/symptoms-causes/syc-20351925,osteoarthritis,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
loss of flexibility,osteoarthritis,"Staying active, maintaining a healthy weight and receiving certain treatments might slow progression of the disease and help improve pain and joint function.",Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/osteoarthritis/symptoms-causes/syc-20351925,osteoarthritis,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
grating sensation,osteoarthritis,"Rest, drink fluids, and seek medical care if symptoms worsen.",Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/osteoarthritis/symptoms-causes/syc-20351925,osteoarthritis,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
swelling,osteoarthritis,"Rest, drink fluids, and seek medical care if symptoms worsen.",Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/osteoarthritis/symptoms-causes/syc-20351925,osteoarthritis,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
