symptom,disease,treatment_recommendation,source_name,source_url,source_topic,confidence,evidence,model_used,extraction_status,validation_status,validation_notes
high temperature,common cold,"Drink plenty of fluids, rest and avoid over-exertion.",NHS,https://www.nhs.uk/conditions/common-cold/,common cold,0.8,The page recommends drinking plenty of fluids to avoid dehydration.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
loss of taste and smell,common cold,"There is no cure for the common cold, but symptoms can be relieved with over-the-counter medications.",NHS,https://www.nhs.uk/conditions/common-cold/,common cold,0.75,"The page states that there is no cure for the common cold, but symptoms can be relieved with over-the-counter medications.",ollama/llama3.2:3b,extracted,needs_review,risky treatment wording: cure
wheezing,asthma,"Use your inhaler correctly so that your medicine works properly. There are different types, including dry powder inhalers, pMDIs and soft mist inhalers.",NHS,https://www.nhs.uk/conditions/asthma/,asthma,0.9,"A doctor, nurse or pharmacist will show you how to use yours.",ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
high blood sugar,type 2 diabetes,"Lose weight if overweight, eat a healthy balanced diet, increase physical activity, and avoid sugary drinks.",NHS,https://www.nhs.uk/conditions/type-2-diabetes/,type 2 diabetes,0.9,The page explains the causes of type 2 diabetes and recommends lifestyle changes.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
increased thirst and urination,type 2 diabetes,"Stay hydrated, eat a healthy balanced diet, increase physical activity, and avoid sugary drinks.",NHS,https://www.nhs.uk/conditions/type-2-diabetes/,type 2 diabetes,0.8,The page explains the symptoms of type 2 diabetes and recommends lifestyle changes.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
headaches,high blood pressure,Get help from NHS 111 if you often have headaches or blurred vision. You can call 111 or get help from 111 online.,NHS,https://www.nhs.uk/conditions/high-blood-pressure-hypertension/,hypertension,0.85,The page links headaches with high blood pressure symptoms and recommends getting help from NHS 111.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
blurred vision,high blood pressure,Get help from NHS 111 if you often have headaches or blurred vision. You can call 111 or get help from 111 online.,NHS,https://www.nhs.uk/conditions/high-blood-pressure-hypertension/,hypertension,0.85,The page links blurred vision with high blood pressure symptoms and recommends getting help from NHS 111.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
chest pain,high blood pressure,Call 999 if you get sudden pain or discomfort in your chest that does not go away. The person you speak to at 999 will give you advice about what to do.,NHS,https://www.nhs.uk/conditions/high-blood-pressure-hypertension/,hypertension,0.85,The page links chest pain with high blood pressure symptoms and recommends calling 999.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
headache,migraine,"Painkillers, such as ibuprofen and paracetamol.",NHS,https://www.nhs.uk/conditions/migraine/,migraine,0.8,"Painkillers, such as ibuprofen and paracetamol.",ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
sensitivity to light,migraine,Medicines that stop you feeling sick or being sick can help.,NHS,https://www.nhs.uk/conditions/migraine/,migraine,0.9,Medicines that stop you feeling sick or being sick can help.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
sensitivity to sounds,migraine,Medicines that stop you feeling sick or being sick can help.,NHS,https://www.nhs.uk/conditions/migraine/,migraine,0.9,Medicines that stop you feeling sick or being sick can help.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
feeling tired,migraine,"Try to get regular exercise, eat meals at regular times and try to manage your stress.",NHS,https://www.nhs.uk/conditions/migraine/,migraine,0.8,"Try to get regular exercise, eat meals at regular times and try to manage your stress.",ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
stiff neck,migraine,See a GP if you have a stiff neck.,NHS,https://www.nhs.uk/conditions/migraine/,migraine,0.7,See a GP if you have a stiff neck.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
peeing more,migraine,See a GP if you have a stiff neck.,NHS,https://www.nhs.uk/conditions/migraine/,migraine,0.7,See a GP if you have a stiff neck.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
chest pain,pneumonia,You'll usually be given antibiotics to treat pneumonia. Most people get better in 2 to 4 weeks.,NHS,https://www.nhs.uk/conditions/pneumonia/,pneumonia,0.91,The page mentions chest pain as a symptom of pneumonia and recommends antibiotics.,ollama/llama3.2:3b,extracted,needs_review,risky treatment wording: antibiotic
cough,bronchitis,Try to stay at home and avoid contact with other people if you have a high temperature or do not feel well enough to do your normal activities.,NHS,https://www.nhs.uk/conditions/bronchitis/,bronchitis,0.9,The page recommends staying at home and avoiding contact with others if symptoms worsen.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
chest pain,bronchitis,See a GP if your symptoms last longer than 3 weeks.,NHS,https://www.nhs.uk/conditions/bronchitis/,bronchitis,0.8,The page recommends seeing a GP if symptoms last longer than 3 weeks.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
shortness of breath,bronchitis,Call 111 or get help from 111 online if you need advice for a child aged 4 years or under.,NHS,https://www.nhs.uk/conditions/bronchitis/,bronchitis,0.7,The page recommends calling 111 for children under 4.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
tiredness,iron deficiency anaemia,Iron tablets will be recommended to replace the iron that's missing from your body.,NHS,https://www.nhs.uk/conditions/iron-deficiency-anaemia/,anemia,0.9,The page links tiredness with iron deficiency anaemia symptoms.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
shortness of breath,iron deficiency anaemia,Iron tablets will be recommended to replace the iron that's missing from your body.,NHS,https://www.nhs.uk/conditions/iron-deficiency-anaemia/,anemia,0.9,The page links shortness of breath with iron deficiency anaemia symptoms.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
notable heartbeats (heart palpitations),iron deficiency anaemia,Iron tablets will be recommended to replace the iron that's missing from your body.,NHS,https://www.nhs.uk/conditions/iron-deficiency-anaemia/,anemia,0.9,The page links heart palpitations with iron deficiency anaemia symptoms.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
paler than usual skin,iron deficiency anaemia,Iron tablets will be recommended to replace the iron that's missing from your body.,NHS,https://www.nhs.uk/conditions/iron-deficiency-anaemia/,anemia,0.9,The page links paler than usual skin with iron deficiency anaemia symptoms.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
headaches,iron deficiency anaemia,Iron tablets will be recommended to replace the iron that's missing from your body.,NHS,https://www.nhs.uk/conditions/iron-deficiency-anaemia/,anemia,0.9,The page links headaches with iron deficiency anaemia symptoms.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
hair loss – you notice more hair coming out when brushing or washing it,iron deficiency anaemia,Iron tablets will be recommended to replace the iron that's missing from your body.,NHS,https://www.nhs.uk/conditions/iron-deficiency-anaemia/,anemia,0.9,The page links hair loss with iron deficiency anaemia symptoms.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
finding it hard to swallow (dysphagia),iron deficiency anaemia,Iron tablets will be recommended to replace the iron that's missing from your body.,NHS,https://www.nhs.uk/conditions/iron-deficiency-anaemia/,anemia,0.9,The page links dysphagia with iron deficiency anaemia symptoms.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
painful open sores (ulcers) in the corners of your mouth,iron deficiency anaemia,Iron tablets will be recommended to replace the iron that's missing from your body.,NHS,https://www.nhs.uk/conditions/iron-deficiency-anaemia/,anemia,0.9,The page links painful open sores with iron deficiency anaemia symptoms.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
dark yellow pee,dehydration,"Drink fluids, and seek medical care if symptoms worsen or risk factors are present.",NHS,https://www.nhs.uk/conditions/dehydration/,dehydration,0.8,The page mentions dark yellow pee as a symptom of dehydration and recommends drinking fluids.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
dizziness or lightheadedness,dehydration,"Drink fluids, and seek medical care if symptoms worsen or risk factors are present.",NHS,https://www.nhs.uk/conditions/dehydration/,dehydration,0.9,The page mentions dizziness or lightheadedness as a symptom of dehydration and recommends drinking fluids.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
