source_name,url,topic
Cleveland Clinic,https://my.clevelandclinic.org/health/diseases/21501-type-2-diabetes,type 2 diabetes
Cleveland Clinic,https://my.clevelandclinic.org/health/diseases/4314-hypertension-high-blood-pressure,hypertension
Cleveland Clinic,https://my.clevelandclinic.org/health/diseases/5005-migraine-headaches,migraine
Cleveland Clinic,https://my.clevelandclinic.org/health/diseases/4471-pneumonia,pneumonia
Cleveland Clinic,https://my.clevelandclinic.org/health/diseases/3993-bronchitis,bronchitis
Cleveland Clinic,https://my.clevelandclinic.org/health/diseases/3929-anemia,anemia
Cleveland Clinic,https://my.clevelandclinic.org/health/diseases/9013-dehydration,dehydration
Cleveland Clinic,https://my.clevelandclinic.org/health/diseases/21214-coronavirus-covid-19,covid-19
Cleveland Clinic,https://my.clevelandclinic.org/health/diseases/15285-sinusitis,sinusitis
Cleveland Clinic,https://my.clevelandclinic.org/health/diseases/8613-ear-infection-otitis-media,ear infection
Cleveland Clinic,https://my.clevelandclinic.org/health/diseases/4602-strep-throat,strep throat
Cleveland Clinic,https://my.clevelandclinic.org/health/diseases/21167-food-poisoning,food poisoning
Cleveland Clinic,https://my.clevelandclinic.org/health/diseases/12418-gastroenteritis,gastroenteritis
Cleveland Clinic,https://my.clevelandclinic.org/health/diseases/9135-urinary-tract-infections,urinary tract infection
Cleveland Clinic,https://my.clevelandclinic.org/health/diseases/17627-chronic-obstructive-pulmonary-disease-copd,copd
Cleveland Clinic,https://my.clevelandclinic.org/health/diseases/8610-allergies,allergies
Cleveland Clinic,https://my.clevelandclinic.org/health/diseases/8622-hay-fever-allergic-rhinitis,hay fever
Cleveland Clinic,https://my.clevelandclinic.org/health/diseases/9998-eczema,eczema
Cleveland Clinic,https://my.clevelandclinic.org/health/diseases/6866-psoriasis,psoriasis
Cleveland Clinic,https://my.clevelandclinic.org/health/diseases/12233-acne,acne
Cleveland Clinic,https://my.clevelandclinic.org/health/diseases/9290-depression,depression
Cleveland Clinic,https://my.clevelandclinic.org/health/diseases/9536-anxiety-disorders,anxiety
Cleveland Clinic,https://my.clevelandclinic.org/health/diseases/17019-gerd-gastroesophageal-reflux-disease,gerd
Cleveland Clinic,https://my.clevelandclinic.org/health/diseases/4342-irritable-bowel-syndrome-ibs,irritable bowel syndrome

healthdirect,https://www.healthdirect.gov.au/asthma-in-adolescents-and-adults,asthma
healthdirect,https://www.healthdirect.gov.au/diabetes-types,diabetes
healthdirect,https://www.healthdirect.gov.au/high-blood-pressure-and-how-to-lower-it,hypertension
healthdirect,https://www.healthdirect.gov.au/pneumonia,pneumonia
healthdirect,https://www.healthdirect.gov.au/chest-infection,chest infection
healthdirect,https://www.healthdirect.gov.au/type-1-diabetes,type 1 diabetes
healthdirect,https://www.healthdirect.gov.au/wheezing,wheezing
healthdirect,https://www.healthdirect.gov.au/pleurisy,pleurisy
healthdirect,https://www.healthdirect.gov.au/dehydration,dehydration
healthdirect,https://www.healthdirect.gov.au/migraine,migraine
healthdirect,https://www.healthdirect.gov.au/bronchitis,bronchitis
healthdirect,https://www.healthdirect.gov.au/anaemia,anemia
healthdirect,https://www.healthdirect.gov.au/gastroenteritis,gastroenteritis
healthdirect,https://www.healthdirect.gov.au/food-poisoning,food poisoning
healthdirect,https://www.healthdirect.gov.au/urinary-tract-infection-uti,urinary tract infection
healthdirect,https://www.healthdirect.gov.au/sinusitis,sinusitis
healthdirect,https://www.healthdirect.gov.au/ear-infection,ear infection
healthdirect,https://www.healthdirect.gov.au/eczema,eczema
healthdirect,https://www.healthdirect.gov.au/psoriasis,psoriasis
healthdirect,https://www.healthdirect.gov.au/acne,acne
